[17:24:23] CPU: 0.00% | RAM: 5141.824/6086.824 MB | DISK: 50000/100000 MB
[17:24:29] CPU: 58.29% | RAM: 5427.824/6086.824 MB | DISK: 50000/100000 MB
[17:24:34] CPU: 29.34% | RAM: 5267.824/6086.824 MB | DISK: 50000/100000 MB
[17:44:46] CPU: 0.00% | RAM: 5483.824/6086.824 MB | DISK: 50000/100000 MB
[17:48:10] CPU: 0.00% | RAM: 5514.824/6086.824 MB | DISK: 50000/100000 MB
[18:39:34] CPU: 0.00% | RAM: 5254.824/6086.824 MB | DISK: 50000/100000 MB
[18:40:22] CPU: 0.00% | RAM: 5439.824/6086.824 MB | DISK: 50000/100000 MB
[18:45:12] CPU: 0.00% | RAM: 5491.824/6086.824 MB | DISK: 50000/100000 MB
[18:45:18] CPU: 48.33% | RAM: 5517.824/6086.824 MB | DISK: 50000/100000 MB
[18:45:23] CPU: 42.40% | RAM: 5512.824/6086.824 MB | DISK: 50000/100000 MB
[18:45:29] CPU: 43.63% | RAM: 5532.824/6086.824 MB | DISK: 50000/100000 MB
[18:45:34] CPU: 45.41% | RAM: 5538.824/6086.824 MB | DISK: 50000/100000 MB
[18:45:40] CPU: 39.45% | RAM: 5544.824/6086.824 MB | DISK: 50000/100000 MB
[18:45:45] CPU: 51.45% | RAM: 5570.824/6086.824 MB | DISK: 50000/100000 MB
[18:45:52] CPU: 77.51% | RAM: 5377.824/6086.824 MB | DISK: 50000/100000 MB
[18:45:57] CPU: 31.81% | RAM: 5272.824/6086.824 MB | DISK: 50000/100000 MB
[18:46:03] CPU: 15.22% | RAM: 5277.824/6086.824 MB | DISK: 50000/100000 MB
[18:46:09] CPU: 28.05% | RAM: 5286.824/6086.824 MB | DISK: 50000/100000 MB
[18:46:14] CPU: 18.91% | RAM: 5277.824/6086.824 MB | DISK: 50000/100000 MB
[18:46:20] CPU: 16.04% | RAM: 5279.824/6086.824 MB | DISK: 50000/100000 MB
[18:46:25] CPU: 32.04% | RAM: 5319.824/6086.824 MB | DISK: 50000/100000 MB
[18:46:31] CPU: 58.34% | RAM: 5431.824/6086.824 MB | DISK: 50000/100000 MB
[18:46:37] CPU: 34.84% | RAM: 5434.824/6086.824 MB | DISK: 50000/100000 MB
[18:46:42] CPU: 31.56% | RAM: 5507.824/6086.824 MB | DISK: 50000/100000 MB
[18:46:48] CPU: 25.71% | RAM: 5506.824/6086.824 MB | DISK: 50000/100000 MB
[18:46:53] CPU: 39.20% | RAM: 5519.824/6086.824 MB | DISK: 50000/100000 MB
[18:46:59] CPU: 40.90% | RAM: 5537.824/6086.824 MB | DISK: 50000/100000 MB
[18:47:05] CPU: 33.59% | RAM: 5546.824/6086.824 MB | DISK: 50000/100000 MB
[18:47:10] CPU: 43.04% | RAM: 5560.824/6086.824 MB | DISK: 50000/100000 MB
[18:47:16] CPU: 42.46% | RAM: 5545.824/6086.824 MB | DISK: 50000/100000 MB
[18:47:21] CPU: 23.84% | RAM: 5526.824/6086.824 MB | DISK: 50000/100000 MB
[18:47:27] CPU: 32.49% | RAM: 5542.824/6086.824 MB | DISK: 50000/100000 MB
[18:47:33] CPU: 49.08% | RAM: 5535.824/6086.824 MB | DISK: 50000/100000 MB
[18:47:39] CPU: 36.59% | RAM: 5541.824/6086.824 MB | DISK: 50000/100000 MB
[18:47:45] CPU: 60.41% | RAM: 5590.824/6086.824 MB | DISK: 50000/100000 MB
[18:47:50] CPU: 57.57% | RAM: 5618.824/6086.824 MB | DISK: 50000/100000 MB
[18:47:56] CPU: 70.74% | RAM: 5636.824/6086.824 MB | DISK: 50000/100000 MB
[18:51:23] CPU: 0.00% | RAM: 5014.824/6086.824 MB | DISK: 50000/100000 MB
[18:51:29] CPU: 14.99% | RAM: 5150.824/6086.824 MB | DISK: 50000/100000 MB
[18:51:35] CPU: 10.21% | RAM: 5168.824/6086.824 MB | DISK: 50000/100000 MB
[18:54:31] CPU: 0.00% | RAM: 5458.824/6086.824 MB | DISK: 50000/100000 MB
